index,Date,country,misogyny,total
685,20/04/2020,LK,0,866
686,20/04/2020,NP,0,768
687,20/04/2020,PK,2,6368
690,21/04/2020,NP,1,749
691,21/04/2020,PK,5,6461
688,21/04/2020,BD,0,687
689,21/04/2020,LK,0,989
692,22/04/2020,BD,0,828
693,22/04/2020,LK,1,853
694,22/04/2020,NP,0,751
695,22/04/2020,PK,4,6913
699,23/04/2020,LK,0,844
696,23/04/2020,NP,0,704
697,23/04/2020,PK,8,6758
698,23/04/2020,BD,0,897
702,24/04/2020,NP,0,695
703,24/04/2020,PK,4,6705
700,24/04/2020,BD,0,829
701,24/04/2020,LK,0,878
704,25/04/2020,BD,2,702
705,25/04/2020,LK,0,1005
706,25/04/2020,NP,0,691
707,25/04/2020,PK,8,6551
708,26/04/2020,BD,0,702
709,26/04/2020,LK,0,917
710,26/04/2020,NP,1,751
711,26/04/2020,PK,10,6496
715,27/04/2020,PK,2,6015
714,27/04/2020,NP,0,619
713,27/04/2020,LK,1,801
712,27/04/2020,BD,0,817
716,28/04/2020,BD,0,732
717,28/04/2020,LK,2,904
718,28/04/2020,NP,1,638
719,28/04/2020,PK,1,6214
723,29/04/2020,LK,0,937
720,29/04/2020,NP,1,858
721,29/04/2020,PK,1,7303
722,29/04/2020,BD,0,930
725,30/04/2020,BD,1,867
726,30/04/2020,LK,0,910
724,30/04/2020,NP,0,976
727,30/04/2020,PK,4,7290
731,01/05/2020,PK,2,7144
730,01/05/2020,NP,0,842
729,01/05/2020,LK,0,998
728,01/05/2020,BD,0,755
732,02/05/2020,BD,0,1033
733,02/05/2020,LK,2,1021
734,02/05/2020,NP,1,770
735,02/05/2020,PK,9,6976
736,03/05/2020,BD,1,890
737,03/05/2020,LK,1,890
738,03/05/2020,NP,0,731
739,03/05/2020,PK,3,6973
743,04/05/2020,NP,1,716
742,04/05/2020,PK,7,6926
740,04/05/2020,LK,0,1026
741,04/05/2020,BD,0,701
744,05/05/2020,BD,2,646
745,05/05/2020,LK,0,847
746,05/05/2020,NP,0,690
747,05/05/2020,PK,3,6499
748,06/05/2020,BD,3,780
749,06/05/2020,LK,1,938
750,06/05/2020,NP,0,800
751,06/05/2020,PK,6,6677
755,07/05/2020,NP,0,718
754,07/05/2020,PK,4,7142
752,07/05/2020,LK,0,955
753,07/05/2020,BD,0,666
756,08/05/2020,BD,2,693
757,08/05/2020,LK,0,1012
758,08/05/2020,NP,0,728
759,08/05/2020,PK,2,6812
763,09/05/2020,LK,1,1109
760,09/05/2020,NP,1,771
761,09/05/2020,PK,4,6654
762,09/05/2020,BD,0,781
767,10/05/2020,NP,1,901
766,10/05/2020,PK,3,7049
764,10/05/2020,LK,0,1096
765,10/05/2020,BD,3,788
770,11/05/2020,BD,0,614
768,11/05/2020,LK,0,840
769,11/05/2020,NP,2,712
771,11/05/2020,PK,0,6330
775,12/05/2020,PK,5,6128
774,12/05/2020,NP,1,895
773,12/05/2020,LK,0,765
772,12/05/2020,BD,0,596
776,13/05/2020,BD,0,582
777,13/05/2020,LK,2,806
778,13/05/2020,NP,0,662
779,13/05/2020,PK,4,6067
782,14/05/2020,NP,0,744
783,14/05/2020,PK,2,5911
780,14/05/2020,BD,0,580
781,14/05/2020,LK,1,1066
784,15/05/2020,BD,0,667
785,15/05/2020,LK,0,942
786,15/05/2020,NP,0,787
787,15/05/2020,PK,3,6898
791,16/05/2020,LK,1,823
788,16/05/2020,NP,2,889
789,16/05/2020,PK,4,6962
790,16/05/2020,BD,1,695
794,17/05/2020,NP,0,950
795,17/05/2020,PK,5,5652
792,17/05/2020,BD,2,619
793,17/05/2020,LK,1,961
796,18/05/2020,BD,1,762
797,18/05/2020,LK,0,847
798,18/05/2020,NP,0,896
799,18/05/2020,PK,4,6433
800,19/05/2020,BD,1,686
801,19/05/2020,LK,1,874
802,19/05/2020,NP,3,750
803,19/05/2020,PK,9,6162
807,20/05/2020,PK,0,5974
806,20/05/2020,NP,1,1161
805,20/05/2020,LK,2,906
804,20/05/2020,BD,0,585
808,21/05/2020,BD,0,450
809,21/05/2020,LK,3,773
810,21/05/2020,NP,1,1164
811,21/05/2020,PK,7,5221
815,22/05/2020,LK,1,879
812,22/05/2020,NP,0,1138
813,22/05/2020,PK,4,7854
814,22/05/2020,BD,1,728
818,23/05/2020,NP,0,930
819,23/05/2020,PK,0,7270
816,23/05/2020,BD,2,555
817,23/05/2020,LK,0,975
820,24/05/2020,BD,0,751
821,24/05/2020,LK,0,951
822,24/05/2020,NP,2,974
823,24/05/2020,PK,1,6537
826,25/05/2020,NP,1,889
827,25/05/2020,PK,1,6159
824,25/05/2020,BD,0,803
825,25/05/2020,LK,1,817
828,26/05/2020,BD,0,732
829,26/05/2020,LK,0,814
830,26/05/2020,NP,2,807
831,26/05/2020,PK,8,6373
835,27/05/2020,LK,0,750
832,27/05/2020,NP,1,885
833,27/05/2020,PK,16,6999
834,27/05/2020,BD,0,678
838,28/05/2020,NP,0,752
839,28/05/2020,PK,7,6429
836,28/05/2020,BD,0,647
837,28/05/2020,LK,0,907
840,29/05/2020,BD,0,641
841,29/05/2020,LK,0,720
842,29/05/2020,NP,0,769
843,29/05/2020,PK,8,6853
844,30/05/2020,BD,2,706
845,30/05/2020,LK,0,851
846,30/05/2020,NP,1,818
847,30/05/2020,PK,6,6928
851,31/05/2020,PK,4,8582
850,31/05/2020,NP,0,811
849,31/05/2020,LK,1,890
848,31/05/2020,BD,0,593
852,01/06/2020,BD,1,661
853,01/06/2020,LK,0,747
854,01/06/2020,NP,0,747
855,01/06/2020,PK,3,6532
859,02/06/2020,LK,0,730
856,02/06/2020,NP,0,741
857,02/06/2020,PK,4,6523
858,02/06/2020,BD,1,607
862,03/06/2020,NP,0,760
863,03/06/2020,PK,3,7243
860,03/06/2020,BD,0,620
861,03/06/2020,LK,3,638
864,04/06/2020,BD,0,583
865,04/06/2020,LK,0,956
866,04/06/2020,NP,1,778
867,04/06/2020,PK,3,7389
868,05/06/2020,BD,0,700
869,05/06/2020,LK,3,1030
870,05/06/2020,NP,2,825
871,05/06/2020,PK,4,7430
875,06/06/2020,NP,4,715
874,06/06/2020,PK,9,7764
872,06/06/2020,LK,0,827
873,06/06/2020,BD,1,631
876,07/06/2020,BD,0,615
877,07/06/2020,LK,0,884
878,07/06/2020,NP,0,681
879,07/06/2020,PK,4,7230
880,08/06/2020,BD,0,649
881,08/06/2020,LK,1,943
882,08/06/2020,NP,0,660
883,08/06/2020,PK,4,6907
887,09/06/2020,PK,2,6445
886,09/06/2020,NP,1,720
885,09/06/2020,LK,0,858
884,09/06/2020,BD,1,645
888,10/06/2020,BD,2,625
889,10/06/2020,LK,3,790
890,10/06/2020,NP,0,812
891,10/06/2020,PK,5,6294
895,11/06/2020,LK,1,734
892,11/06/2020,NP,0,747
893,11/06/2020,PK,1,6261
894,11/06/2020,BD,0,646
899,12/06/2020,PK,4,6906
898,12/06/2020,NP,0,857
897,12/06/2020,LK,0,790
896,12/06/2020,BD,0,683
903,13/06/2020,LK,0,748
900,13/06/2020,NP,0,1088
901,13/06/2020,PK,4,6803
902,13/06/2020,BD,0,800
906,14/06/2020,NP,0,1052
907,14/06/2020,PK,4,8308
904,14/06/2020,BD,0,913
905,14/06/2020,LK,1,803
910,15/06/2020,NP,0,885
911,15/06/2020,PK,5,6417
908,15/06/2020,BD,0,685
909,15/06/2020,LK,1,651
912,16/06/2020,BD,1,747
913,16/06/2020,LK,1,752
914,16/06/2020,NP,1,939
915,16/06/2020,PK,3,6648
916,17/06/2020,BD,0,674
917,17/06/2020,LK,0,731
918,17/06/2020,NP,2,878
919,17/06/2020,PK,8,7060
923,18/06/2020,NP,1,933
922,18/06/2020,PK,4,7051
920,18/06/2020,LK,0,937
921,18/06/2020,BD,0,760
924,19/06/2020,BD,0,660
925,19/06/2020,LK,0,765
926,19/06/2020,NP,0,904
927,19/06/2020,PK,3,6640
928,20/06/2020,BD,0,816
929,20/06/2020,LK,1,656
930,20/06/2020,NP,3,818
931,20/06/2020,PK,7,6742
935,21/06/2020,NP,1,937
934,21/06/2020,PK,6,7820
932,21/06/2020,LK,0,732
933,21/06/2020,BD,0,799
936,22/06/2020,BD,2,643
937,22/06/2020,LK,0,790
938,22/06/2020,NP,0,667
939,22/06/2020,PK,3,5505
943,23/06/2020,LK,0,650
940,23/06/2020,NP,4,812
941,23/06/2020,PK,0,6362
942,23/06/2020,BD,1,726
944,24/06/2020,BD,0,619
945,24/06/2020,LK,0,655
946,24/06/2020,NP,1,850
947,24/06/2020,PK,3,5455
950,25/06/2020,NP,2,868
951,25/06/2020,PK,4,6016
948,25/06/2020,BD,0,690
949,25/06/2020,LK,1,708
954,26/06/2020,NP,0,806
955,26/06/2020,PK,5,6035
952,26/06/2020,BD,0,658
953,26/06/2020,LK,1,616
959,27/06/2020,NP,0,776
958,27/06/2020,PK,5,5810
956,27/06/2020,LK,0,676
957,27/06/2020,BD,0,595
960,28/06/2020,BD,0,713
961,28/06/2020,LK,2,729
962,28/06/2020,NP,0,807
963,28/06/2020,PK,2,6592
964,29/06/2020,BD,0,657
965,29/06/2020,LK,1,697
966,29/06/2020,NP,0,648
967,29/06/2020,PK,0,6256
970,30/06/2020,NP,0,756
971,30/06/2020,PK,0,6022
968,30/06/2020,BD,0,569
969,30/06/2020,LK,1,694
972,01/07/2020,BD,1,747
973,01/07/2020,LK,0,594
974,01/07/2020,NP,0,769
975,01/07/2020,PK,3,6648
979,02/07/2020,PK,8,6173
978,02/07/2020,NP,2,706
977,02/07/2020,LK,0,797
976,02/07/2020,BD,0,656
983,03/07/2020,NP,0,734
982,03/07/2020,PK,5,6102
980,03/07/2020,LK,1,744
981,03/07/2020,BD,0,633
984,04/07/2020,BD,0,662
985,04/07/2020,LK,0,718
986,04/07/2020,NP,0,768
987,04/07/2020,PK,3,5937
991,05/07/2020,LK,0,633
988,05/07/2020,NP,0,733
989,05/07/2020,PK,2,7399
990,05/07/2020,BD,0,693
995,06/07/2020,NP,0,767
994,06/07/2020,PK,8,6105
992,06/07/2020,LK,0,640
993,06/07/2020,BD,1,710
998,07/07/2020,BD,0,627
996,07/07/2020,LK,0,473
997,07/07/2020,NP,0,778
999,07/07/2020,PK,5,4907
1002,08/07/2020,PK,2,5741
1003,08/07/2020,NP,0,696
1001,08/07/2020,BD,0,780
1000,08/07/2020,LK,0,757
1004,09/07/2020,BD,2,531
1005,09/07/2020,LK,0,624
1006,09/07/2020,NP,0,767
1007,09/07/2020,PK,2,4672
1011,10/07/2020,LK,0,633
1008,10/07/2020,NP,0,941
1009,10/07/2020,PK,2,5487
1010,10/07/2020,BD,0,667
1015,11/07/2020,NP,1,1026
1014,11/07/2020,PK,2,5989
1012,11/07/2020,LK,0,756
1013,11/07/2020,BD,1,761
1019,12/07/2020,LK,0,741
1016,12/07/2020,NP,0,958
1017,12/07/2020,PK,4,6428
1018,12/07/2020,BD,2,806
1022,13/07/2020,NP,3,833
1023,13/07/2020,PK,2,5638
1020,13/07/2020,BD,0,733
1021,13/07/2020,LK,0,647
1027,14/07/2020,NP,2,753
1026,14/07/2020,PK,3,5245
1024,14/07/2020,LK,2,603
1025,14/07/2020,BD,1,594
1028,15/07/2020,BD,1,676
1029,15/07/2020,LK,0,660
1030,15/07/2020,NP,1,789
1031,15/07/2020,PK,2,5991
1035,16/07/2020,LK,0,696
1032,16/07/2020,NP,1,912
1033,16/07/2020,PK,0,5617
1034,16/07/2020,BD,3,817
1036,17/07/2020,BD,1,702
1037,17/07/2020,LK,1,632
1038,17/07/2020,NP,1,757
1039,17/07/2020,PK,3,5878
1041,18/07/2020,BD,0,678
1042,18/07/2020,LK,1,666
1040,18/07/2020,NP,1,891
1043,18/07/2020,PK,1,6490
1047,19/07/2020,PK,4,5997
1046,19/07/2020,NP,0,808
1045,19/07/2020,LK,0,618
1044,19/07/2020,BD,1,711
1048,20/07/2020,BD,1,714
1049,20/07/2020,LK,0,616
1050,20/07/2020,NP,2,800
1051,20/07/2020,PK,4,5757
1054,21/07/2020,NP,0,635
1055,21/07/2020,PK,1,5563
1052,21/07/2020,BD,1,731
1053,21/07/2020,LK,1,655
1056,22/07/2020,BD,0,742
1057,22/07/2020,LK,0,620
1058,22/07/2020,NP,1,643
1059,22/07/2020,PK,2,5789
1063,23/07/2020,LK,0,584
1060,23/07/2020,NP,0,695
1061,23/07/2020,PK,2,4944
1062,23/07/2020,BD,0,727
1066,24/07/2020,NP,0,571
1067,24/07/2020,PK,2,4945
1064,24/07/2020,BD,0,870
1065,24/07/2020,LK,1,580
1068,25/07/2020,BD,0,1108
1069,25/07/2020,LK,0,665
1070,25/07/2020,NP,1,30518
1071,25/07/2020,PK,5,5962
1072,26/07/2020,BD,3,915
1073,26/07/2020,LK,0,759
1074,26/07/2020,NP,1,699
1075,26/07/2020,PK,2,6312
1079,27/07/2020,PK,9,5869
1078,27/07/2020,NP,0,570
1077,27/07/2020,LK,0,658
1076,27/07/2020,BD,3,877
1080,28/07/2020,BD,3,885
1081,28/07/2020,LK,0,608
1082,28/07/2020,NP,2,734
1083,28/07/2020,PK,10,5730
1087,29/07/2020,LK,1,659
1084,29/07/2020,NP,1,657
1085,29/07/2020,PK,3,5475
1086,29/07/2020,BD,0,748
1090,30/07/2020,NP,3,736
1091,30/07/2020,PK,3,4946
1088,30/07/2020,BD,1,683
1089,30/07/2020,LK,0,637
1094,31/07/2020,NP,0,741
1095,31/07/2020,PK,4,5116
1092,31/07/2020,BD,1,596
1093,31/07/2020,LK,0,574
1096,01/08/2020,BD,1,600
1097,01/08/2020,LK,1,737
1098,01/08/2020,NP,4,928
1099,01/08/2020,PK,0,4890
1100,02/08/2020,BD,0,601
1101,02/08/2020,LK,1,582
1102,02/08/2020,NP,1,749
1103,02/08/2020,PK,3,4506
1107,03/08/2020,NP,0,567
1106,03/08/2020,PK,1,4651
1104,03/08/2020,LK,0,609
1105,03/08/2020,BD,0,466
1108,04/08/2020,BD,0,534
1109,04/08/2020,LK,3,574
1110,04/08/2020,NP,0,575
1111,04/08/2020,PK,3,5531
1112,05/08/2020,BD,0,604
1113,05/08/2020,LK,0,856
1114,05/08/2020,NP,0,770
1115,05/08/2020,PK,2,6119
1119,06/08/2020,NP,0,758
1118,06/08/2020,PK,3,5681
1116,06/08/2020,LK,0,1040
1117,06/08/2020,BD,1,714
1120,07/08/2020,BD,1,815
1121,07/08/2020,LK,1,844
1122,07/08/2020,NP,1,836
1123,07/08/2020,PK,6,6020
1127,08/08/2020,LK,0,758
1124,08/08/2020,NP,3,1013
1125,08/08/2020,PK,3,6513
1126,08/08/2020,BD,4,710
1128,09/08/2020,BD,3,698
1129,09/08/2020,LK,0,724
1130,09/08/2020,NP,1,961
1131,09/08/2020,PK,3,6180
1134,10/08/2020,NP,1,962
1135,10/08/2020,PK,2,5544
1132,10/08/2020,BD,4,720
1133,10/08/2020,LK,0,622
1138,11/08/2020,NP,1,894
1139,11/08/2020,PK,7,5673
1136,11/08/2020,BD,0,647
1137,11/08/2020,LK,1,661
1143,12/08/2020,NP,2,754
1142,12/08/2020,PK,5,4988
1140,12/08/2020,LK,0,741
1141,12/08/2020,BD,2,614
1144,13/08/2020,BD,0,612
1145,13/08/2020,LK,6,745
1146,13/08/2020,NP,1,844
1147,13/08/2020,PK,7,6735
1148,14/08/2020,BD,0,719
1149,14/08/2020,LK,0,644
1150,14/08/2020,NP,0,946
1151,14/08/2020,PK,2,7447
1154,15/08/2020,NP,0,921
1155,15/08/2020,PK,3,5940
1152,15/08/2020,BD,0,831
1153,15/08/2020,LK,0,689
1156,16/08/2020,BD,1,565
1157,16/08/2020,LK,1,840
1158,16/08/2020,NP,0,922
1159,16/08/2020,PK,2,5305
1163,17/08/2020,PK,4,5008
1162,17/08/2020,NP,3,685
1161,17/08/2020,LK,0,973
1160,17/08/2020,BD,1,511
1167,18/08/2020,NP,0,910
1166,18/08/2020,PK,8,5158
1164,18/08/2020,LK,0,839
1165,18/08/2020,BD,0,592
1168,19/08/2020,BD,1,520
1169,19/08/2020,LK,1,759
1170,19/08/2020,NP,0,790
1171,19/08/2020,PK,4,4268
1175,20/08/2020,LK,0,807
1172,20/08/2020,NP,0,853
1173,20/08/2020,PK,2,5201
1174,20/08/2020,BD,0,568
1179,21/08/2020,NP,0,923
1178,21/08/2020,PK,8,5097
1176,21/08/2020,LK,0,723
1177,21/08/2020,BD,0,745
1182,22/08/2020,BD,0,655
1180,22/08/2020,LK,0,787
1181,22/08/2020,NP,1,831
1183,22/08/2020,PK,6,5186
1186,23/08/2020,PK,2,5289
1187,23/08/2020,NP,0,973
1185,23/08/2020,BD,0,571
1184,23/08/2020,LK,1,828
1188,24/08/2020,BD,0,541
1189,24/08/2020,LK,0,647
1190,24/08/2020,NP,0,724
1191,24/08/2020,PK,4,4307
1192,25/08/2020,BD,1,686
1193,25/08/2020,LK,1,743
1194,25/08/2020,NP,1,858
1195,25/08/2020,PK,1,5020
1199,26/08/2020,PK,5,4811
1198,26/08/2020,NP,0,792
1197,26/08/2020,LK,0,737
1196,26/08/2020,BD,2,614
1200,27/08/2020,BD,1,691
1201,27/08/2020,LK,0,783
1202,27/08/2020,NP,2,796
1203,27/08/2020,PK,3,6001
1204,28/08/2020,BD,0,643
1205,28/08/2020,LK,0,827
1206,28/08/2020,NP,0,835
1207,28/08/2020,PK,5,5405
1211,29/08/2020,NP,1,957
1210,29/08/2020,PK,0,5784
1208,29/08/2020,LK,0,857
1209,29/08/2020,BD,1,658
1212,30/08/2020,BD,1,620
1213,30/08/2020,LK,3,845
1214,30/08/2020,NP,2,874
1215,30/08/2020,PK,3,6072
1218,31/08/2020,NP,1,913
1219,31/08/2020,PK,4,6005
1216,31/08/2020,BD,0,876
1217,31/08/2020,LK,3,805
1220,01/09/2020,BD,1,785
1221,01/09/2020,LK,0,770
1222,01/09/2020,NP,1,874
1223,01/09/2020,PK,7,5830
1227,02/09/2020,LK,1,712
1224,02/09/2020,NP,1,805
1225,02/09/2020,PK,4,5649
1226,02/09/2020,BD,2,716
1230,03/09/2020,NP,1,987
1231,03/09/2020,PK,6,5268
1228,03/09/2020,BD,1,706
1229,03/09/2020,LK,0,768
1235,04/09/2020,NP,1,920
1234,04/09/2020,PK,1,4934
1232,04/09/2020,LK,1,799
1233,04/09/2020,BD,0,623
1236,05/09/2020,BD,0,673
1237,05/09/2020,LK,0,848
1238,05/09/2020,NP,0,734
1239,05/09/2020,PK,4,5843
1243,06/09/2020,LK,0,1025
1240,06/09/2020,NP,0,833
1241,06/09/2020,PK,7,5857
1242,06/09/2020,BD,1,674
1247,07/09/2020,NP,2,904
1246,07/09/2020,PK,4,4906
1244,07/09/2020,LK,1,986
1245,07/09/2020,BD,4,869
1250,08/09/2020,BD,3,944
1248,08/09/2020,LK,2,849
1249,08/09/2020,NP,0,898
1251,08/09/2020,PK,6,4600
1255,09/09/2020,PK,2,5139
1254,09/09/2020,NP,1,1029
1253,09/09/2020,LK,1,825
1252,09/09/2020,BD,3,962
1256,10/09/2020,BD,0,872
1257,10/09/2020,LK,0,654
1258,10/09/2020,NP,0,847
1259,10/09/2020,PK,13,6196
1262,11/09/2020,NP,1,890
1263,11/09/2020,PK,8,5604
1260,11/09/2020,BD,2,946
1261,11/09/2020,LK,0,679
1264,12/09/2020,BD,1,904
1265,12/09/2020,LK,0,826
1266,12/09/2020,NP,0,878
1267,12/09/2020,PK,5,5262
1271,13/09/2020,LK,0,857
1268,13/09/2020,NP,1,765
1269,13/09/2020,PK,4,5155
1270,13/09/2020,BD,1,760
1273,14/09/2020,BD,2,688
1274,14/09/2020,LK,0,687
1272,14/09/2020,NP,0,727
1275,14/09/2020,PK,5,4409
1279,15/09/2020,NP,0,762
1278,15/09/2020,PK,2,4573
1276,15/09/2020,LK,0,728
1277,15/09/2020,BD,2,616
1280,16/09/2020,BD,2,599
1281,16/09/2020,LK,0,622
1282,16/09/2020,NP,1,768
1283,16/09/2020,PK,4,4606
1284,17/09/2020,BD,1,641
1285,17/09/2020,LK,0,639
1286,17/09/2020,NP,0,643
1287,17/09/2020,PK,0,4516
1291,18/09/2020,PK,8,4263
1290,18/09/2020,NP,0,715
1289,18/09/2020,LK,3,713
1288,18/09/2020,BD,4,585
1292,19/09/2020,BD,0,637
1293,19/09/2020,LK,1,751
1294,19/09/2020,NP,1,870
1295,19/09/2020,PK,4,5783
1296,20/09/2020,BD,1,578
1297,20/09/2020,LK,3,803
1298,20/09/2020,NP,0,779
1299,20/09/2020,PK,4,5997
1303,21/09/2020,NP,0,749
1302,21/09/2020,PK,1,4842
1300,21/09/2020,LK,1,588
1301,21/09/2020,BD,0,631
1304,22/09/2020,BD,2,555
1305,22/09/2020,LK,0,676
1306,22/09/2020,NP,0,753
1307,22/09/2020,PK,0,4628
1308,23/09/2020,BD,3,603
1309,23/09/2020,LK,0,737
1310,23/09/2020,NP,0,745
1311,23/09/2020,PK,2,5242
1313,24/09/2020,NP,1,607
1315,24/09/2020,BD,1,558
1312,24/09/2020,PK,6,4432
1314,24/09/2020,LK,0,564
1316,25/09/2020,BD,0,453
1317,25/09/2020,LK,0,630
1318,25/09/2020,NP,0,553
1319,25/09/2020,PK,5,3945
1322,26/09/2020,BD,1,620
1320,26/09/2020,LK,0,525
1321,26/09/2020,NP,0,622
1323,26/09/2020,PK,1,4060
1327,27/09/2020,NP,0,673
1326,27/09/2020,PK,6,4774
1324,27/09/2020,LK,2,679
1325,27/09/2020,BD,1,614
1328,28/09/2020,BD,6,590
1329,28/09/2020,LK,1,570
1330,28/09/2020,NP,1,618
1331,28/09/2020,PK,3,4088
1332,29/09/2020,BD,1,638
1333,29/09/2020,LK,2,569
1334,29/09/2020,NP,1,503
1335,29/09/2020,PK,2,4106
1338,30/09/2020,NP,0,404
1339,30/09/2020,PK,4,3798
1336,30/09/2020,BD,3,553
1337,30/09/2020,LK,0,595
1340,01/10/2020,BD,1,225
1341,01/10/2020,LK,0,219
1342,01/10/2020,NP,0,164
1343,01/10/2020,PK,0,1769
1347,02/10/2020,PK,10,3732
1346,02/10/2020,NP,0,434
1345,02/10/2020,LK,0,666
1344,02/10/2020,BD,0,493
1351,03/10/2020,NP,0,535
1350,03/10/2020,PK,4,4092
1348,03/10/2020,LK,0,632
1349,03/10/2020,BD,0,518
1352,04/10/2020,BD,0,531
1353,04/10/2020,LK,0,812
1354,04/10/2020,NP,0,554
1355,04/10/2020,PK,2,4496
1356,05/10/2020,BD,2,602
1357,05/10/2020,LK,0,749
1358,05/10/2020,NP,1,453
1359,05/10/2020,PK,3,4310
1363,06/10/2020,LK,0,706
1360,06/10/2020,NP,0,382
1361,06/10/2020,PK,10,3365
1362,06/10/2020,BD,3,485
1366,07/10/2020,NP,1,436
1367,07/10/2020,PK,5,3196
1364,07/10/2020,BD,4,433
1365,07/10/2020,LK,0,650
1371,08/10/2020,PK,1,3815
1370,08/10/2020,NP,2,620
1369,08/10/2020,LK,1,569
1368,08/10/2020,BD,3,528
1372,09/10/2020,BD,4,498
1373,09/10/2020,LK,1,838
1374,09/10/2020,NP,1,538
1375,09/10/2020,PK,2,4655
1376,10/10/2020,BD,1,646
1377,10/10/2020,LK,0,842
1378,10/10/2020,NP,1,593
1379,10/10/2020,PK,3,4840
1383,11/10/2020,NP,0,574
1382,11/10/2020,PK,4,5218
1380,11/10/2020,LK,3,968
1381,11/10/2020,BD,3,586
1384,12/10/2020,BD,3,646
1385,12/10/2020,LK,2,628
1386,12/10/2020,NP,0,606
1387,12/10/2020,PK,1,4263
1388,13/10/2020,BD,4,605
1389,13/10/2020,LK,0,797
1390,13/10/2020,NP,1,610
1391,13/10/2020,PK,3,4740
1395,14/10/2020,NP,1,551
1394,14/10/2020,PK,0,3987
1392,14/10/2020,LK,3,744
1393,14/10/2020,BD,0,531
1396,15/10/2020,BD,1,605
1397,15/10/2020,LK,1,842
1398,15/10/2020,NP,0,469
1399,15/10/2020,PK,1,4084
1400,16/10/2020,BD,4,521
1401,16/10/2020,LK,1,730
1402,16/10/2020,NP,0,457
1403,16/10/2020,PK,4,4894
1404,17/10/2020,BD,4,547
1405,17/10/2020,LK,0,680
1406,17/10/2020,NP,0,700
1407,17/10/2020,PK,2,5151
1410,18/10/2020,NP,1,568
1411,18/10/2020,PK,2,5406
1408,18/10/2020,BD,0,525
1409,18/10/2020,LK,0,762
1415,19/10/2020,PK,3,4579
1414,19/10/2020,NP,0,531
1413,19/10/2020,LK,2,594
1412,19/10/2020,BD,0,576
1416,20/10/2020,BD,0,596
1417,20/10/2020,LK,0,610
1418,20/10/2020,NP,1,501
1419,20/10/2020,PK,3,4388
1420,21/10/2020,BD,1,568
1421,21/10/2020,LK,0,553
1422,21/10/2020,NP,0,466
1423,21/10/2020,PK,1,3877
1427,22/10/2020,NP,0,513
1426,22/10/2020,PK,3,4402
1424,22/10/2020,LK,0,662
1425,22/10/2020,BD,0,600
1428,23/10/2020,BD,1,669
1429,23/10/2020,LK,0,717
1430,23/10/2020,NP,1,588
1431,23/10/2020,PK,2,4696
1434,24/10/2020,PK,1,5040
1435,24/10/2020,NP,2,689
1433,24/10/2020,BD,0,727
1432,24/10/2020,LK,0,765
1436,25/10/2020,BD,2,686
1437,25/10/2020,LK,0,966
1438,25/10/2020,NP,0,502
1439,25/10/2020,PK,3,4894
1440,26/10/2020,BD,2,911
1441,26/10/2020,LK,5,922
1442,26/10/2020,NP,0,494
1443,26/10/2020,PK,3,4331
1447,27/10/2020,LK,0,706
1444,27/10/2020,NP,0,482
1445,27/10/2020,PK,2,4466
1446,27/10/2020,BD,2,668
1450,28/10/2020,NP,0,446
1451,28/10/2020,PK,4,3505
1448,28/10/2020,BD,2,710
1449,28/10/2020,LK,0,664
